caseID,activity_chain,next_activity
1-364285768,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-364285768,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Completed - Resolved
1-364285768,"['Completed - Resolved', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-364285768,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-364285768,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Completed - Resolved
1-364285768,"['Completed - Resolved', 'Completed - Closed']",end
1-467153946,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-467153946,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-467153946,"['Accepted - In Progress', 'Accepted - Wait - Implementation', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-467153946,"['Accepted - Wait - Implementation', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-467153946,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Wait']",Accepted - Assigned
1-467153946,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - In Progress
1-467153946,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-467153946,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-467153946,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Accepted - Wait
1-467153946,"['Accepted - Wait', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - In Progress
1-467153946,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-467153946,"['Accepted - Wait - Implementation', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-467153946,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
